Player,Pos,Team,G,REC,YDS,YDSG,AVG,LNG,20+,40+,TD
John Phillips,TE,SD,16,10,69,4.3,6.9,15,0,0,1
Brandon Pettigrew,TE,DET,8,7,67,8.4,9.6,21,1,0,1
Zac Stacy,RB,NYJ,8,9,65,8.1,7.2,16,0,0,0
Ahmad Bradshaw,RB,IND,6,10,64,10.7,6.4,10,0,0,3
Daniel Brown,WR,BAL,6,6,64,10.7,10.7,31,1,0,0
Gavin Escobar,TE,DAL,14,8,64,4.6,8,22,1,0,1
Fozzy Whittaker,RB,CAR,15,12,64,4.3,5.3,15,0,0,0
Jim Dray,TE,CLE,16,6,61,3.8,10.2,18,0,0,0
Luke Stocker,TE,TB,14,9,61,4.4,6.8,14,0,0,1
Daniel Fells,TE,NYG,2,6,60,30,10,23,1,0,0
Jerome Cunningham,TE,NYG,9,8,59,6.6,7.4,16,0,0,0
Cody Latimer,WR,DEN,14,6,59,4.2,9.8,15,0,0,1
Brandon Tate,WR,CIN,16,2,59,3.7,29.5,55,1,1,1
Cameron Artis-Payne,RB,CAR,7,5,58,8.3,11.6,20,1,0,0
Marcus Easley,WR,BUF,13,1,58,4.5,58,58,1,1,1
Chris Johnson,RB,ARI,11,6,58,5.3,9.7,40,1,1,0
Tony Moeaki,TE,ATL,11,3,58,5.3,19.3,42,1,1,1
Zurlon Tipton,RB,IND,10,5,57,5.7,11.4,27,1,0,0
Tommy Bohanon,FB,NYJ,16,4,56,3.5,14,23,1,0,0
Jesse James,TE,PIT,8,8,56,7,7,20,1,0,1
John Kuhn,FB,GB,16,6,56,3.5,9.3,19,0,0,0
Alfred Morris,RB,WAS,16,10,55,3.4,5.5,12,0,0,0
Trey Burton,TE,PHI,16,3,54,3.4,18,43,1,1,0
Hakeem Nicks,WR,NYG,6,7,54,9,7.7,19,0,0,0
Jerome Simpson,WR,SF,6,5,54,9,10.8,16,0,0,1
Dwayne Bowe,WR,CLE,7,5,53,7.6,10.6,16,0,0,0
Carlos Hyde,RB,SF,7,11,53,7.6,4.8,11,0,0,0
Juwan Thompson,RB,DEN,15,6,51,3.4,8.5,16,0,0,0
Jake Stoneburner,TE,MIA,11,5,47,4.3,9.4,13,0,0,2
Anthony Dixon,RB,BUF,16,6,44,2.8,7.3,14,0,0,0
Jalston Fowler,FB,TEN,16,5,44,2.8,8.8,19,0,0,1
Levine Toilolo,TE,ATL,16,7,44,2.8,6.3,11,0,0,0
LeGarrette Blount,RB,NE,12,6,43,3.6,7.2,14,0,0,1
Preston Parker,WR,NYG,2,5,43,21.5,8.6,15,0,0,0
Kevin Smith,WR,SEA,7,3,43,6.1,14.3,21,1,0,0
Chase Coffman,TE,TEN,1,4,42,42,10.5,16,0,0,0
Terrelle Pryor,WR,CLE,3,1,42,14,42,42,1,1,0
Marcus Mariota,QB,TEN,12,1,41,3.4,41,41,1,1,1
Greg Salas,WR,BUF,2,3,41,20.5,13.7,20,1,0,0
Paul Richardson,WR,SEA,1,1,40,40,40,40,1,1,0
Michael Burton,FB,DET,16,6,39,2.4,6.5,12,0,0,1
Akeem Hunt,RB,HOU,7,6,39,5.6,6.5,27,1,0,0
Mike Davis,RB,SF,6,7,38,6.3,5.4,11,0,0,0
Nick O'Leary,TE,BUF,4,1,37,9.2,37,37,1,0,0
Tom Brady,QB,NE,16,1,36,2.2,36,36,1,0,0
Michael Campanaro,WR,BAL,4,5,35,8.8,7,11,0,0,0
Anthony Sherman,FB,KC,16,4,34,2.1,8.5,18,0,0,0
Troy Niklas,TE,ARI,16,4,33,2.1,8.3,13,0,0,2
Josh Robinson,RB,IND,5,6,33,6.6,5.5,9,0,0,0
Phillip Supernaw,TE,TEN,16,3,32,2,10.7,16,0,0,0
Orleans Darkwa,RB,NYG,16,3,31,1.9,10.3,15,0,0,0
Jake Fisher,T,CIN,14,1,31,2.2,31,31,1,0,0
Andrew Quarless,TE,GB,5,4,31,6.2,7.8,13,0,0,0
Garrett Graham,TE,HOU,8,4,30,3.8,7.5,9,0,0,1
Austin Johnson,FB,NO,10,5,30,3,6,12,0,0,0
Mike Gillislee,RB,BUF,5,6,29,5.8,4.8,14,0,0,0
Lorenzo Taliaferro,RB,BAL,3,5,29,9.7,5.8,11,0,0,0
Russell Shepard,WR,TB,13,3,28,2.2,9.3,18,0,0,1
Jarryd Hayne,RB,SF,8,6,27,3.4,4.5,7,0,0,0
Cory Harkey,TE,STL,16,5,26,1.6,5.2,12,0,0,0
Michael Williams,TE,NE,15,3,26,1.7,8.7,15,0,0,0
Andrew Turzilli,WR,TEN,3,2,25,8.3,12.5,18,0,0,0
Knile Davis,RB,KC,14,2,24,1.7,12,12,0,0,0
Marquise Goodwin,WR,BUF,2,2,24,12,12,14,0,0,0
T.J. Graham,WR,NO,4,4,24,6,6,18,0,0,0
Toby Gerhart,RB,JAC,7,3,23,3.3,7.7,8,0,0,0
Kenjon Barner,RB,PHI,10,9,22,2.2,2.4,12,0,0,0
Vincent Brown,WR,SD,1,1,22,22,22,22,1,0,0
